a	art.一（人，事，物），每一，任何一
couch	n.长沙发椅
could	can的过去式
council	n.理事会；委员会
counsel	vt.提出建议(或劝告)
counseling	n.顾问服务
counselor	n.顾问
count	v.数，计算
counter	n.讨价还价的本钱；回击，反击
counterpart	n.对应的人(或物)；对手(方)
country	n.国家；农村，乡间
county	n.(英国)郡；县
coup	n.政变`突然的一击
couple	n.对，双，夫妇
courage	n.勇气
course	n.进程，过程，课程
court	n.法院 v.求爱
courtroom	n.审判室
cousin	n.堂(表)兄弟，堂(表)姐妹
cover	n.封面 vt.覆盖；包括；涵盖
coverage	n.覆盖，总括；承保范围；新闻报道
cow	n.母牛
crack	n.裂缝，裂口 vi.爆裂，破裂
craft	n.工艺；手艺，行业
crash	v.(使)哗啦一声坠落(或倒下，破碎) n.坠落
crawl	vi.&amp;n.爬(行)
crazy	a.疯狂的；愚蠢的
cream	n.膏状物
create	vt.创造
creation	n.创造
creative	a.创造性的
creativity	n.创造性
creature	n.创造物; 生物; 动物
credibility	n.可靠性，可信度
credit	认为（某人）有（某种优点或成就等）
crew	n.全体船员，全体机务人员
crime	n.罪，罪行；犯罪
criminal	a.犯罪的，违法的 n.罪犯，犯人
crisis	n.危机
criteria	标准
critic	n.评论家；批评者
critical	a.挑剔的，苛求的
criticism	n.批评，指责
criticize	vt.批评
crop	n.农作物，庄稼；收成
cross	n.&amp;v.十字形，十字架；越过，穿过
crowd	n.群，人群 vi.聚集，群集
crowded	a.拥挤的
crucial	a.决定性的，关键的
cruel	a.残忍的
cruise	v.巡航；航游；缓慢巡行 n.海上航游
crush	vt.压碎，碾碎；镇压，压倒
cry	v.&amp;n.叫，喊；哭泣
crystal	n.水晶；晶粒 a.清澈透明的，晶体的
Cuban	n.&amp;a.古巴(人)的
cue	vt.给…提示；指示 n.暗示；信号
cultural	a.文化上的，文化的；修养的
culture	n.文化；文明
cup	n.杯子
cure	n.&amp;v.治愈，医治
curiosity	n.好奇心
curious	a.奇怪的
currency	n.通货，货币
current	n.潮流；涌流，电流 a.当前的，通行的
currently	ad.目前
curriculum	n.课程，大纲
curtain	n.窗帘
curve	n.曲线，弯曲 vt./vi.(使)弯曲，(使)成曲线
custody	n.监管，监护
custom	n.习俗，风俗，(个人)习惯
customer	n.顾客，消费者
cut	vt.割；切
cute	a.聪明的, 伶俐的
cycle	n.周期；循环
dad	Dad n.爹爹；爸爸(俗) , n.爸爸(非正式用语)
daily	a.每日的
dam	n.坝，堤
damage	vt.损坏 n.损坏
damn	int.该死，他妈的 vt.指责，贬斥，诅咒
dance	v.&amp;n.跳舞；舞蹈，舞会
dancer	n.跳舞的人，舞蹈者
dancing	跳舞
danger	n.危险
dangerous	a.危险的
dare	vt.挑战
dark	a.黑暗的 n.黑暗
darkness	n.黑暗；晦暗
data	n.资料，数据
database	n.数据库
date	n.&amp;v.日期；日子；年代；注日期
daughter	n.女儿
dawn	n.黎明
day	n.日
dead	a.死的
deadline	n.最后期限
deadly	a.致命的，致死的
deal	v.&amp;n.处理，安排，应付(with)；数量
dealer	n.商人，做买卖的人
dear	a.亲爱的
death	n.死，死亡
debate	vt.辩论
debris	n.(破坏物的)碎片，废墟;[地理]岩屑，(冰川积聚的)碎石
debt	n.债务，欠债
debut	n.首次演出，初次露面
decade	n.十年，十年期
decent	a.合宜的；得体的
decide	v.决定，下决心
decision	n.决定，决心，果断
deck	n.音响设备中放光盘或磁带的装置；甲板
declare	v.宣布，宣告
decline	vi.下降；衰退vt.拒绝 n.下降；衰落
decorate	vt.装修，装饰
decrease	v.&amp;n.减少
dedicate	vt.献给; 献身于
deem	vt.认为，相信
deep	a.深的
deeply	ad.深深地
deer	n.［单复同形］鹿
defeat	vt.&amp;n.击败
defend	v.防卫
defendant	n.被告
defender	n.防守队员
defense	n.防御；保卫，防卫
defensive	a.防御的
deficit	n.赤字，亏空，亏损
define	v.explain the meaning of 界定
definitely	ad.明确地，干脆地
definition	n.定义
degree	n.程度
delay	v.&amp;n.延迟
deliberately	ad. on purpose 故意地
delicate	a.细软的，纤细的；精美的；微妙的
delight	n.&amp;v.快乐，高兴；使快乐
deliver	vt.交付；递送
delivery	n.投递；送交
demand	vt.&amp;n.要求
democracy	n.民主政治，民主主义
Democrat	Democrat n.（美）民主党党员 , n.(美国)民主党人
democratic	a.民主的
demographic	a.人口的，人口统计的
demonstrate	vt.论证，证明；示范；显示 vi.示威游行
demonstration	n.(情绪的)显示，表露；示威游行
denial	n.否定；拒绝相信
dense	a.密集的，稠密的，浓密的
density	n.密集度，稠密度；［物][化］密度
deny	vt.否认；拒绝给予
depart	vi.离开
department	n.部，部门，系
departure	n.离开，启程，出发
depend	v.依靠，信任，信赖
dependent	a.依赖(他人)的，依靠的
depict	vt.描画，描绘；描写，描述
deploy	vt.部署，调动
deposit	vt.存放；使沉积
depressed	a.精神抑郁的，情绪沮丧的
depression	n.不景气，萧条(期)
depth	n.深度；深处［常pl.］；深奥，深刻
deputy	n.副职，副手
derive	vi.来(自)，起源(于) vt.得到
descend	vi.传下，遗传；下来，下降
describe	v.描述，形容，刻划，显示
description	n.描写，形容；种类
desert	v.抛弃，遗弃
deserve	vt.值得
design	vt./vi.设计；预定，指定 n.设计；图案
designer	n.设计者
desire	n.愿望
desk	n.书桌
desperate	a.绝望的；没希望的；孤注一掷的
desperately	ad.绝望地；拼命地
despite	prep.不管，尽管
dessert	n.(正餐后的)甜点心
destination	n.目的地，终点
destroy	vt.破坏，毁灭；消灭
destruction	n.破坏，毁灭，消灭
detail	n.细节，详情 vt.详述，详细说明
detailed	a.详细的，详尽的；极注意细节的；完全的
detect	vt.察觉，发现
detective	n.侦探
determination	n.决心，决定
determine	vt.确定
devastating	a.毁灭性的；破坏性极大的
develop	v.发展，进展；发扬，开发
developer	n.(房地产)开发商；开发者
developing	a.发展中的
development	n.发展，进展，发达
developmental	a.发展的，开发的；促使成长的
device	n.策略；手段；装置，设备
devil	n.魔鬼，恶魔
devote	v.奉献，献身，致力
diabetes	n.糖尿病
diagnose	vt./vi.诊断(疾病)；判断
diagnosis	n.诊断
dialogue	n.对话，对白
diamond	n.钻石，金刚石
diary	n.日记
dictate	n.命令，指令 v.口授，口述，使听写
die	vi.死亡
diet	n.通常所吃的食物；(因医疗等)限食的食物
differ	vi.不一致，不同
difference	n.差别
different	a.差异的，不同的
differently	adv.不同地
difficult	a.困难的
difficulty	n.困难
dig	v.挖，掘
digital	a.手指的，指状的；数字的，计数的
dignity	n.尊严
dilemma	n.(进退两难的)窘境，困境
dimension	n.特点，特性
diminish	vi.变少，变小，降低vt.减少，减小，降低
dining	n.就餐
dinner	n.正餐，宴会
dip	DIP 文件图像处理 , vt.&amp;vi.浸，泡，蘸 n.浸泡，蘸
diplomat	a.外交家；外交官
diplomatic	a.外交上的
direct	a.&amp;v.直率的；径直，直接；指导，指引
direction	n.方向，方位
directly	adv.直接地
director	Director 多媒体创作软件 , n.导演
dirt	n.污垢
dirty	a.肮脏的
disability	n.伤残
disabled	a.伤残的；使失去战斗力的
disagree	vi.(with)有分歧，不同意；不一致，不符
disappear	vi.消失
disappointed	a.失望的
disappointment	n.失望
disaster	n.灾难，大祸
disc	n.唱片；录像圆盘
discipline	n.纪律, 学科
disclose	vt.使显露；揭露，泄露
discount	vt.打折扣 n.折扣
discourage	vt.使泄气，使沮丧；阻拦
discourse	n.论文，演说；谈话；话语vi.讲述，著述
discover	v.发现
discovery	n.发现
discrimination	n.歧视
discuss	vt.讨论
discussion	n.讨论，商议
disease	n.疾病
dish	n.碟，盘子；菜肴
disk	磁盘
dismiss	vt.驳回，对…不予受理
disorder	n.混乱；失调，紊乱 vt.使混乱；使失调
display	vt.展示
dispute	vt.对......提出质疑
dissolve	vt.(使)溶解，(使)融化；解散，取消
distance	n.距离，路程
distant	a.在远处的，远隔的，久远的
distinct	a.与其他不同的，独特的；明显的
distinction	n.声誉；荣誉
distinctive	a.特殊的；与众不同的
distinguish	vt.使出众；辨别；区分
distract	vt.转移(注意力)；使转移注意力
distribute	vt.分发；分送
distribution	n.分发；分送
district	n.区，行政区；地区，区域
disturb	vt.使烦恼
disturbing	a.令人不安的；令人烦恼的
diverse	a.不一样的，相异的
diversity	n.差异, 多样性
divide	vt.划分；分开
divine	a.神的；神圣的
division	n.分开，分割；除(法)；部门，科，处
divorce	n./vi.离婚 vt.与…离婚，使分裂
DNA	脱氧脱糖核酸
do	vi./vt.做 v.aux.助动词
dock	n.码头；被告席vt.使(船)进港；扣vi.进港
doctor	n.医生，大夫
doctrine	n.教义，主义；学说
document	vt.用文件证明
documentary	n.记录片
dog	n.狗
doll	n.玩具娃娃
domain	n.(活动等)领域，范围；领地，势力范围
domestic	adj.家庭的，家务的；国内的n.家仆，佣人
dominant	a.占优势的；支配的
dominate	vt.统治，支配，占优势
donate	v.捐赠；赠送
donation	n.捐献；赠送
donor	n.捐献者；赠送人；（组织、器官等的）供体
door	n.门
doorway	n.门口；门道
dose	n.(一次)剂量
dot	vt.散布于，布满，点缀
double	a.&amp;v.两倍的；加倍
doubt	n.&amp;v.怀疑，疑问，疑惑
dough	n.生面团；钱，现款
down	adv.向下
downtown	adj.市中心区的
dozen	n.(一)打
draft	n.草稿, 草案, 草图
drag	vt.拖，拉
drain	vt.排(水等)
drama	n.戏剧
dramatic	a.戏剧性的；引人注目的，给人深刻印象的
dramatically	ad.显著地
draw	vt./vi.画；绘制
drawer	n.抽屉
drawing	n.绘图，图画
dream	n.&amp;v.梦，梦想，幻想；做梦
dress	n.女服
dried	adj.晒干的，晾干的
drift	n.漂流；趋势，倾向 vi./vt.(使)漂流；漂泊
drill	n.钻头，钻床；操练，演习 v.钻(孔)；操练
drink	v.喝
drive	v.驾驶
driver	n.司机
driveway	n.(通往住宅的)车道
driving	驾驶
drop	vt.放弃；革除
drown	vt.淹没；使(某人)淹死
drug	n.麻药，麻醉药
drum	n.边，边缘，刀口，利刃，（灾难的）边缘 v.(使)渐渐移动，略为增减
dry	n.容易，轻易，不费劲，舒适安逸自在无忧无虑 v.(使)宽慰减轻缓解，(使)缓缓移动，(使)容易些
duck	vt.猛按…入水, 躲避
due	a.预期的；约定的；到期的
dumb	a.哑的；不会说话的；笨的；愚蠢的
dump	vt.倾倒
during	prep.在…期间
dust	v.灰尘，尘土
Dutch	n.边，边缘，刀口，利刃，（灾难的）边缘 v.(使)渐渐移动，略为增减，加减边数
duty	n.义务
dying	a.垂死的,临终的
dynamic	a.动力的，动态的；有生气的，有力的
dynamics	n.力学；动力学；原动力学；动态
each	adj./pron.各自(的)；每(个)
eager	a.热切的，渴望的
ear	n.耳朵
early	a.&amp;ad.早，早日的，及早的
earn	v.挣得
earnings	n.所挣的钱
earth	n. 世界，地球，陆地，地面，土，泥土 v.把电线接地
earthquake	n.地震
ease	n.容易，轻易，不费劲，舒适安逸自在无忧无虑 v.(使)宽慰减轻缓解，(使)缓缓移动，(使)容易些
easily	v.(尤指在不合适的地方)丢弃，扔掉，倾倒，丢下，抛弃 n.垃圾场垃圾堆，脏的地方，令人厌恶的地方
east	n.&amp;a.&amp;ad.东，东方，在东方
eastern	a.东方的，东部的；向东方的，来自东方的
easy	a.哑的，不能说话的，不肯开口的，愚笨的 v.(使)沉默
ecological	a.生态的
economic	adj.经济的；经济学的
economically	ad.节约地，在经济上
economics	n.经济学；经济
economist	economy	n.经济
ecosystem	n.［生］生态系统
edge	n.刀口
edit	vt.编辑
edition	n.版，版本
editor	n.编辑
educate	vt.教育
education	educational	a.教育的；有教育意义的
educator	n.教育家
effect	n.效果，作用，影响
effective	a.有效果的，有成效的
effectively	ad.有效(果)地，有成效地
effectiveness	n.效果，有效性
efficiency	n.效率
efficient	a.效率高的
effort	n.努力，尽力
egg	n.鸡蛋
ego	n.自我，自己
eight	num.八
eighth	num.第八
either	pron.两者之一
elaborate	a.精心制作的；复杂的
elbow	n.肘部
elder	n.年长者
elderly	a.较老的，人过中年的 n.近老年人
elect	v.选举
election	n.选举
electric	a.电的，带电的，电动的
electrical	a.电的，电气的
electricity	n.电流
electronic	a.电子的
electronics	n.电子技术；电子学
elegant	a.文雅的，雅致的
element	n.成分，要素；元素
elementary	a.初等的，初级的
elephant	n.(动物)象
elevator	n.电梯，升降机
eleven	num.十一
eligible	a.符合推选条件的；合格的
eliminate	vt.排除，消灭
elite	n.精英，杰出人物 a.杰出的，精英的
else	adv.此外；别的
elsewhere	ad.在别处；向别处
e-mail	e-mail 电子邮件 , 电子邮件
embarrassed	a.尴尬的
embrace	v.拥抱，怀抱 n.拥抱，怀抱
emerge	vi.出现，涌现
emergency	n.紧急情况；急症
emission	n.散发，发射
emotion	n.情感，情绪，感情
emotional	a.感情的，情绪的
emotionally	ad.感情上
emphasis	n.强调, 重点
emphasize	vt.强调，着重
empire	n.帝国
employ	n.&amp;vt.雇佣
employee	n.雇员，雇工
employer	n.雇佣者，雇主
employment	n.雇用；使用；工作，职业
empty	a.空的，空洞的
enable	vt.使(某人)能(做某事)
enact	v.制定(法律等)，通过(法案等)
encounter	v.遭遇(困难、危险)；偶遇，邂逅
encourage	vt.鼓励
encouraging	a.鼓舞人心的
end	n.&amp;v.端，尖，尾；终止，结束
endless	a.无止境的，没完没了的
endorse	v.赞同，支持
endure	vt.忍受，忍耐
enemy	n.敌人
energy	n.能量
enforce	vt.实施，执行；强制
enforcement	n.putting into force 实施, 执行
engage	vi.(in)从事于，参加 vt.使从事于，使忙于
engagement	n.订婚，婚约；约会
engine	n.发动机，引擎；机车
engineer	n.工程师
engineering	n.工程师行业，工程学
English	english n. 英语；adj. 英语的 , n.英语 a.英国人的
enhance	vt.提高，增加
enjoy	vt.享受
enormous	a.巨大的，庞大的
enough	a.&amp;n.&amp;ad.足够，充足
enroll	v.注册，登记
ensure	vt.保证, 担保, 使安全, 保证得到
enter	v.走进，进入
enterprise	n.事业；企业
entertainment	n.娱乐
enthusiasm	n.热情，热心
entire	a.全部的
entirely	ad.全部地，完整地；完全地，彻底地
entitle	vt.给…以权利
entity	n.存在，实体；统一性
entrance	n.入口处
entrepreneur	n.[法]企业家, 创业者
entry	n.进入；入口；登记，条目，账目
envelope	n.信封
environment	n.环境
environmental	a.环境的
envision	v.想象;展望
epidemic	n.&amp;a.流行病(的)
episode	n.（一连串事件中的）一个事件；插曲
equal	a.相等的
equality	n.平等
equally	ad.相等地，平等地；同样地
equation	n.方程式
equip	vt.装备，配备
equipment	n.设备；装备
equity	n.公平；公正
equivalent	n.对等物；对应词
era	n.时代，纪元
error	n.错误，过失
escape	n.&amp;v.逃跑；逃避
especially	ad.特别；尤其
essay	n.散文，随笔
essence	n.本质，实质；要素
essential	a.必需的
essentially	ad.本质上地，实质上地
establish	vt.确立，证实
establishment	n.建立，创办；机构
estate	n.财产；(尤指)遗产
estimate	n.估计，估价；评价 vt.估计，估价
estimated	a.估计的
etc	#NAME?
ethical	morally good
ethics	n.伦理学；伦理观，道德标准
ethnic	a.种族的
European	european adj. 欧洲的；n. 欧洲人 , a.欧洲的 n.欧洲人
evaluate	vt.估价，评价
evaluation	n.估价
even	adv.更加；甚至
evening	n.傍晚，晚上
event	n.事件，事变，大事
eventually	ad.终于，最终
ever	adv.曾经；究竟；在任何时候
every	a.每一个
everybody	pron.每一人
everyday	a.每一天
everyone	pron.每人
everything	pron.每一件事
everywhere	ad.各处
evidence	n.根据，证据
evident	a.明显的，明白的
evil	a.坏的，邪恶的
evolution	n.进化
evolve	v.进化;演化
exact	a.精确的，正确的
exactly	ad.确切地；精确地
exam	n.考试；检查
examination	n.=exam考试，测验
examine	v.检查
example	n.例，实例；范例，榜样
exceed	vt.超过
excellent	a.优秀的
except	prep.除…之外
exception	n.除外，例外
excessive	a.过多的，过分的
exchange	vt./n.交换，调换；交流
excited	a.激动的，兴奋的
excitement	n.刺激，兴奋，激动
exciting	a.令人兴奋的
exclude	v.阻止...进入；把...排除在外
exclusive	a.不算；不包括；把...排斥在外
exclusively	ad.排斥其他地；单独地；专有地
excuse	excuse vt.原谅 , 原谅
execute	vt.实行，执行，完成，贯彻；将…处死
execution	n.实行；执行，履行
executive	a.&amp;n.实行的，执行的；执行者
exercise	n.&amp;v.练习
exhaust	vt.使精疲力尽；耗尽n.排气装置；废气
exhibit	vt.展出,显示
exhibition	n.展览会
exist	vi.存在
existence	n.存在，实有
existing	a.现存的，目前的
exit	n.出口(处)
exotic	a.外国的；异国情调的
expand	vt./vi.扩大，膨胀，扩张
expansion	n.扩张，扩充；扩大；扩充物；扩展部
expect	v.期待，盼望
expectation	n.期待，期望
expected	adj．预期的，预料的
expedition	n.远征；远征(探险，考察)队；迅速
expense	n.花费
expensive	a.高价的，昂贵的
experience	n.经验
experienced	a.有经验的
experiment	n.试验，实验 v.做实验，进行试验
experimental	a.实验的；经验的
expert	n.专家，能手
expertise	n.专门知识(技能等)；专家鉴定，评价
explain	v.解释
explanation	n.解释
explicit	a.明确的；直爽的
explode	vt.使爆炸 vi.爆炸；突发
exploit	vt.利用；开发
exploration	n.考察；勘探；探查
explore	vt.勘探; 探索; 探查
explosion	n.爆炸，爆发
export	vt.输出，出口 n.输出品，输出，出口
expose	vt.揭露；暴露
exposure	n.暴露，揭露；曝光
express	a.急速的；特殊的
expression	n.表示，表现；措辞，语句；表情，脸色
extend	vt.使延长；使延期；扩展，扩大
extended	a.展开的；延伸的，延续的；广泛的
extension	n.伸张，伸展，扩大；电话分机
extensive	a.巨大的；严重的；广阔的；广大的
extent	程度，范围
external	a.外在的，在外的
extra	a.额外的，外加的
extraordinary	a.非同寻常的，特别的
extreme	n.极端
extremely	ad.极端，非常
eye	n.眼睛
eyebrow	n.眉毛，眉
fabric	n.结构，组织；织物，（纺）织品
face	n.&amp;v.脸，面，表面；面临，面向
facilitate	vt.使便利
facility	n.［常pl.］设备，设施；便利，容易
fact	n.事实，实际，真相
factor	n.因素，要素
factory	n.工厂，制造厂
faculty	n.能力
fade	vi.消失; 褪色; 衰弱
fail	v.失败
failure	n.失败者
faint	vi.晕倒
fair	a.公平的
fairly	ad.相当地
faith	n.信任；信仰
fall	n.&amp;v.落下，跌落，降落
fame	n.名望，名声
familiar	a.熟悉的
family	n.家庭
famous	a.著名的
fan	n.(运动、电影等的)狂热爱好者，迷
fantastic	a.异想天开的，不现实的；难以相信的
fantasy	n.想像，幻想
far	a.&amp;ad.远，遥远，久远
fare	n.食物
farm	n.&amp;v.农场，农庄，牧场；耕作，经营农场
farmer	n.农夫，农场主
fascinating	a.迷人的，吸引人的
fashion	n.时髦;姿态
fast	ad.快
faster	更快
fat	fat a.肥胖的；厚的，丰满的 n.脂肪，肥肉 , (file allocation table)文件分配表
fatal	a.致命的，毁灭性的
fate	n.命运
father	n.父亲
fatigue	n.疲劳，(金属材料等的)疲劳
fault	n.缺点，毛病；错误，过失；［地］断层
favor	n.好感，喜爱
favorable	a.赞成的，赞许的
favorite	n.&amp;a.最喜爱的人(或物)；最喜爱的
fear	n.&amp;v.恐惧，害怕，担心；恐怕
feather	n.羽毛，翎毛
feature	n.an important part or quality 特征
federal	adj.联邦的
fee	n.费用
feed	v.饲养 n.饲料；食物
feedback	n.反馈
feel	v.感觉，感到
feeling	n.感觉，知觉；情感
fellow	n.家伙，小伙子；同辈，同事，伙伴
female	a.雌的，女(性)的 n.女子；雌性动物
feminist	a.主张男女平等的，女权主义的
fence	护栏
festival	n.节日，(定期在某地举行的)音乐、戏剧节等
fever	n.发烧
few	a.很少
fiber	n.纤维
fiction	n.小说
field	n.田野；原野；场地
fierce	a.暴怒的；凶猛的；残酷的；强烈的
fifteen	num.十五
fifth	num.第五
fifty	num.五十
fight	v.打架
fighter	n.战士
fighting	n．战斗；打仗
figure	n.数字；人物；外形vt.(out)演算出；想出
file	vi.排成纵队行进
fill	v.装满
film	n.电影，胶卷
filter	vi.过滤,透过
final	a.最后的，最终的，决定性的
finally	ad.最后；最终
finance	n.财政，金融；经费，资金
financial	a.财政的；金融的
find	vt.找到；发现
finding	n.发现(物)；［常pl.］(调查或研究)结果
fine	a.美好的
finger	n.手指，指头
finish	v.&amp;n.完毕，结束，完成
fire	vt.解雇
firm	a.稳固的 n.公司
firmly	ad.强有力地；牢牢地
first	a./ad.第一
fiscal	a.国库的，(政府)财政的
fish	n.鱼
fisherman	n.渔夫
fishing	n.捕鱼，钓鱼
fist	n.拳头
fit	v.适合
fitness	n.健康
five	num.五
fix	n.an injection of narcotics 毒品注射剂
fixed	固定的
flag	vi.衰退
flame	n.火焰
flash	n.(火焰等)一闪,闪亮
flat	a.平坦的，扁平的
flavor	n.味，味道；风味，特色 vt.给…调味
flee	vi./vt.(fled,fled)逃离；逃避
fleet	n.舰队；船队
flesh	n.肉，肉体
flexibility	n.flexible quality 灵活性，柔韧性
flexible	a.柔韧的，柔顺的；可变通的，灵活的
flight	n.飞行，飞翔；航班，班机；逃跑，溃退
flip	v.掷，弹
float	vi./vt.(使)漂浮
flood	n.洪水 v.淹没
floor	n.楼层；地板；室内地面
flour	n.面粉,粉
flow	vi.(潮)涨；上升；流
flower	n.花，花卉
fluid	n.液体
fly	vi.飞翔
flying	a.(谣言等)到处流传的
focus	vt./vi.(使)聚焦，(使)集中 n.焦点，中心
fog	n.雾
fold	vt.折叠
folk	n.人们；［口］家属，亲属 a.民间的
follow	v.跟随，追逐，追求；听从
following	a.接着的；下列的
food	n.食物
fool	n.笨蛋，傻瓜
foot	n.([复数]feet)脚
football	n.橄榄球(运动)
for	prep.为
forbid	vt.禁止
force	n.力量
forehead	n.前额
foreign	a.外国的
foreigner	n.外国人
forest	n.森林
forever	ad.永远
forget	vt.忘记
forgive	vt.原谅
fork	n.叉
form	v.建立
formal	a.正式的；形式的；礼仪上的
format	n.格式，样式
formation	n.形成(物)
former	a.在前的，以前的 n.前者
formerly	ad.以前，从前
formula	n.(formulas或formulae)公式
forth	ad.向前，向外
fortunately	ad.幸运地，幸亏
fortune	n.财富；运气
forty	num.四十
forum	n.论坛
forward	a.早的；迅速的
foster	Foster 福斯特(姓或名) , vt ．养育收养怀抱鼓励a ．收养的n ．养育者
found	vt.建立
foundation	n.基础
founder	founder n.奠基者，创建者，缔造者 , n．方正公司
four	num.四
fourth	num.第四
fraction	n.(某物的)小部分，一点儿 n.分数；小数
fragile	a.易碎的，脆的，易损坏的；虚弱的，脆弱的
fragment	vt.使成碎片，使分裂
frame	n.构架，框架
framework	n.框架，构架，结构
franchise	n.特权，特权；专营权，特许权
frankly	ad.直率地; 慷慨地
fraud	n.欺骗(行为)；骗局，诡计
free	adj.空闲的；自由的
freedom	n.自由，自主
freely	ad.自愿地
freeze	vt.结冰；冷冻
French	french n. 法语 , a.法国的 n.法国人
frequency	n.频率
frequent	a.频繁的
frequently	ad.频繁地
fresh	a.新鲜的
freshman	n.大(中)学一年级学生
friend	friend n.朋友 , n.朋友
friendly	a.友谊的，友好的
friendship	n.友谊
from	prep.从；来自…
front	n./adj.前面(的)
frontier	n.边境，边界；边疆；边远地区
frown	vi.皱眉(表示不满)
frozen	a.固定不变的；冻住的
fruit	n.水果
frustrate	vt.挫败；阻挠…的成功；使受挫折
frustration	n.挫败，挫折
fuel	n.燃料
full	a.满的，充满的
full-time	a.专任的
fully	ad.完全地，全部地，彻底地；充分地
fun	n.乐趣；有趣的人(或事物)
function	n.操作
functional	a.功能的；职务上的；实用的
fund	n.基金，专款；储备，贮存 vt.提供资金
fundamental	a.基本的，根本的 n.基本原则，基本原理
funeral	n.葬礼
funny	a.滑稽的，可笑的，有趣的
fur	n.软毛；毛皮；毛皮衣物
furniture	n.家具；设备
furthermore	ad.而且；此外
future	n.未来
gain	v.&amp;n.增加
galaxy	n.星系
gallery	n.画廊，美术馆；长廊；走廊
game	n.游戏，玩耍；比赛
gang	n.一队，一族；一群，一帮
gap	n.豁口；缺口；峡谷；山口；差距；分歧
garage	n.汽车库
garbage	n.废料；垃圾；废物
garden	n.花园
garlic	n.大蒜
gas	n.气体；煤气；汽油
gasoline	n.汽油
gate	n.大门；门
gather	v.聚集，集合；采集，收集
gathering	n.聚集；集会
gay	n.愉快；快乐
gaze	vi./n.凝视，注视
gear	vt.调整；用齿轮连结 n.齿轮；排挡
gender	n.性别
gene	n.基因
general	a.普通的
generally	ad.一般地，通常，大体上
generate	vt.发生；产生
generation	n.(一)代
generous	a.慷慨的，大方的
genetic	a.遗传（学）的
genius	n.天才
genre	n.(文学、艺术等的)类型，体裁，风格
gentle	a.温和的
gentleman	n.绅士，先生
gently	ad.轻轻地
genuine	a.真正的，名副其实的；真诚的，坦率的
German	german adj. 德国的；n. 德国人 , adj.德国的 n.德国人
gesture	n.姿势，手势
get	vt./vi.得到；获得
ghost	n.鬼魂
giant	n.巨人；巨物，巨大的动物 a.巨大的
gift	n.礼物
gifted	a.有天才的, 有才华的
girl	n.女孩
girlfriend	n.女朋友
give	vi.弯曲；塌下
given	a.specified, fixed 特定的,一定的
glad	adj.高兴的；乐意的
glance	v.&amp;n.看一眼；一看，一瞥
glass	n.玻璃，玻璃杯；镜子，眼镜(pl.)
glimpse	n.a quick view or look 一瞥，一看
global	a.球形的，球面的；世界的；普遍的
globe	n.球；球状物；天体
glory	n.光荣，荣誉；荣誉的事
glove	n.手套
go	vi.去
goal	n.终点，球门；目标，目的
goat	n.山羊
God	God n.上帝，神 , n.上帝；造物主；偶像
gold	n.黄金
golden	a.金色的
golf	n.高尔夫球
good	adj.好；令人满意的
govern	vt.[常被动]决定；统治；治理；支配；影响
government	n.政府
governor	n.统治者，管辖者；地方长官
grab	vt.抢夺，攫取
grace	n.优美的
grade	n.&amp;v.等级，年级；分数；分等，分级
gradually	ad.逐渐地
graduate	n.毕业生v.毕业
graduation	n.毕业
grain	n.谷物
grand	a.dignified,stately (外)祖…；(外)孙
grandchild	n.孙子，孙女；外孙，外孙女
grandfather	n.祖父；外祖父
grandmother	n.祖母，外祖母
grandparent	n.祖父或祖母，外祖父或外祖母
grant	vt.同意；准予 n.同意，授予；拨款
grape	n．葡萄
grasp	v.理解；领会
grass	n.草，牧草
grateful	a.感激的；感谢的
grave	a.严重的；严肃的
gravity	n.严肃，认真；重要性；［物］重力
gray	Gray 格雷(男子名) , a.灰色的n.灰色
great	a.伟大的
greatest	是great的最高级
greatly	adv.极大地
Greek	a.希腊的；希腊人(语)的 n.希腊语(人)
green	green a.绿，幼稚的 n.绿色 , n.(姓)
greet	v.问候
grief	n.悲哀
grin	n.露齿的笑 vi.露齿而笑
grip	vt./n.紧握，紧夹；掌握，控制
grocery	n.食品杂货店
gross	a.总的；毛的
ground	n.地面；战场
group	n.群，小组
grow	vt./vi.种植；生长
growing	adj．发展的，扩大的
growth	n.增长，增加；生长，发展
guarantee	n./vt.保证，担保，保修
guard	v.守卫
guess	v.&amp;n.推测，猜测
guest	n.客人
guidance	n.引导，指导
guide	n.向导 v.指导
guideline	n.指导方针，指导原则，准则，标准
guilt	n.有罪；内疚
guilty	a.有罪的；内疚的
guitar	n.六弦琴，吉他
gun	n.枪
gut	a.本能的，发自内心深处的
guy	guy n.家伙，人；牵索 , (男人名)
gym	n.[口]体育馆，健身房
ha	Ha int.哈！(表示惊异，愉快，怀疑，胜利等) , int.哈(表示惊讶、欢乐、胜利、愠怒等)
habit	n.习惯
habitat	n.产地；栖息地
hair	n.毛发，头发，汗毛
half	n.一半
halfway	a.中途的，不彻底的 ad.至半途，中途地
hall	n.礼堂
hallway	n.门厅；过道
hand	vt.交；递
handful	n.一把，一小撮
handle	n.柄，把手 vt.运用，操纵；经营，管理
handsome	a.英俊的；大方的
hang	n.吊，悬挂；吊死，绞死
happen	v.发生
happily	adv.幸福地；愉快地
happiness	n.快乐；幸福
happy	a.幸福的
harassment	n.骚扰
hard	adv.努力地 adj.困难的
hardly	ad.几乎不
hardware	n.金属器具
harm	n.伤害 vt.伤害，损害
